model,alert_rate,recall
Week-of-year climatology,0.62,0.9081006938841375
Week-of-year climatology,0.64,0.9139906406325642
Week-of-year climatology,0.66,0.925286428917218
Week-of-year climatology,0.68,0.9301274810392125
Week-of-year climatology,0.7000000000000001,0.9363401645957722
Week-of-year climatology,0.7200000000000001,0.9446506374051961
Week-of-year climatology,0.74,0.9532838470227529
Week-of-year climatology,0.76,0.9557043730837502
Week-of-year climatology,0.78,0.9563498467000161
Week-of-year climatology,0.8,0.9631273196708084
Week-of-year climatology,0.8200000000000001,0.9655478457318057
Week-of-year climatology,0.8400000000000001,0.9725673713086977
Week-of-year climatology,0.86,0.9764402130062934
Week-of-year climatology,0.88,0.9774084234306922
Week-of-year climatology,0.9,0.9828142649669195
Week-of-year climatology,0.92,0.9860416330482491
Week-of-year climatology,0.9400000000000001,0.9928997902210747
Week-of-year climatology,0.9600000000000001,0.9947555268678393
Week-of-year climatology,0.98,0.9972567371308698
Week-of-year climatology,1.0,1.0
Week-of-year climatology,,
"Reports within 100 km, 28 d",0.02,0.10279167339035017
"Reports within 100 km, 28 d",0.04,0.18976924318218494
"Reports within 100 km, 28 d",0.06,0.24866871066645152
"Reports within 100 km, 28 d",0.08,0.31466838792964336
"Reports within 100 km, 28 d",0.1,0.37356785541390997
"Reports within 100 km, 28 d",0.12000000000000001,0.4137485880264644
"Reports within 100 km, 28 d",0.13999999999999999,0.45578505728578345
"Reports within 100 km, 28 d",0.16,0.4874939486848475
"Reports within 100 km, 28 d",0.18,0.525334839438438
"Reports within 100 km, 28 d",0.19999999999999998,0.5582539938680007
"Reports within 100 km, 28 d",0.22,0.594400516378893
"Reports within 100 km, 28 d",0.24,0.6156204615136356
"Reports within 100 km, 28 d",0.26,0.6486203001452315
"Reports within 100 km, 28 d",0.28,0.6674197192189769
"Reports within 100 km, 28 d",0.30000000000000004,0.691463611424883
"Reports within 100 km, 28 d",0.32,0.718492819106019
"Reports within 100 km, 28 d",0.34,0.7456027109891883
"Reports within 100 km, 28 d",0.36000000000000004,0.7627077618202356
"Reports within 100 km, 28 d",0.38,0.774164918508956
"Reports within 100 km, 28 d",0.4,0.7827174439244796
"Reports within 100 km, 28 d",0.42000000000000004,0.8025657576246571
"Reports within 100 km, 28 d",0.44,0.8156365983540422
"Reports within 100 km, 28 d",0.46,0.8334678070033887
